district,lng,lat
Shanghai,121.480248,31.236276
Huangpu,121.4912,31.23735
Jingan,121.453768,31.234232
Changning,121.430876,31.226667
Putuo,121.402309,31.25541
Xuhui,121.442884,31.194772
Yangpu,121.531921,31.265522
Hongkou,121.51112,31.270402
PudongNew,121.550734,31.227827
Minhang,121.387518,31.118477
Baoshan,121.495955,31.410914
Jiading,121.271855,31.381305
Songjiang,121.234125,31.038625
Fengxian,121.480461,30.924288
Jinshan,121.34828,30.748958
Qingpu,121.495955,31.410914
Chongming,121.403893,31.62918
