title,time,hot,emo,count
上海新增本土确诊322例无症状19660例,842,2290,中性,1
热点 | 居委倒卖捐赠物资？警方通报！,1833,1002,负面,1
防疫不力，上海问责,1846,892,负面,2
生活物资问题，上海最新回应！,2103,793,中性,1
人民日报记者现场直击：上海最大方舱医院紧锣密鼓施工,1326,326,中性,1
人民日报：一季度产销有望翻番，占全球市场份额升至65%,2156,308,中性,2
平安回来！妈妈出征驰援上海女儿不舍摸头,1715,308,正面,1
上海一志愿者与亲戚之子发生冲突后死亡,1800,304,负面,3
上海建立应急特需保供机制优化热线接通能力,2046,281,中性,3
提升金融服务民营经济质效为民企融资拓渠道增信心,636,252,正面,1
谢谢你“守沪者”！上海市民致敬援沪大白,1103,245,正面,1
忘带钥匙上海一对夫妻翻窗回家妻子被困楼外,1922,243,负面,4
上海警方回应有人售卖临时通行证：为向朋友炫耀，实际并无办理能力,1029,234,负面,2
收到连花清瘟该不该吃,1105,232,中性,3
新华全媒＋丨上海临港方舱医院投入使用,1903,220,中性,5
网民发布上海单独隔离的孩子们谣言被行拘,1105,220,负面,4
浦东录音里哽咽的居委干部回应了,1022,208,中性,5
上海68.6万名在职党员向社区报到,917,207,正面,2
上海：大型公共设施改建方舱医院实现分级分类收治,1119,206,中性,6
居委书记回应与返岗护士通话时落泪,948,204,正面,3
落日余晖照爷爷为上海医护加油,1355,195,正面,2
上海民警催泪劝说下楼老人回家 居民集体隔空鼓掌点赞,1524,193,正面,1
针对儿童感染者陪护问题上海将根据实际情况满足家长“同收同治”需求,1435,185,中性,2
上海“集采集配”全力保供,1445,184,中性,3
你帮我脱离险境 我助你走出泥沼,825,156,负面,4
无人机开辟空中抗疫航线巡检送药零接触,1009,154,中性,7
上海：网传28个崇明人坐集装箱逃到江苏,1604,153,负面,2
“动”漫海报“守沪者联盟”上线各地保供物资陆续抵达上海,1718,152,中性,3
强举措抓落实 筑牢疫情防控屏障,1107,148,中性,8
江浙将为上海提供6万间隔离房，用于接收新冠密接人员,1021,148,中性,9
“双向奔赴”，共同守“沪”,1551,137,正面,4
上海公积金中心关闭还贷将受影响,1623,132,中性,4
在上海疫情防控关键点位上，这些临时组建的“战斗堡垒”凝聚力量冲锋一线,1245,132,正面,3
疫情当前警察不退,937,132,正面,5
“哭了”的上海居委书记：每天面对几千居民共克时艰从未停下,2051,123,正面,4
转真相，莫传谣！关于上海疫情这些说法都是假新闻,1353,111,负面,4
上海市民在APP上买菜难咋办？美团副总裁：主要因为分拣配送能力不足，已调配近千人来沪,1236,111,中性,5
上海网络辟谣：杨浦区新江湾城有小区解封,1905,107,负面,6
上海：全力打击价格违法行为已查处155件价格等违法案件,1036,102,中性,10
上海某小区一柯基被拖路边处理 居委会：柯基主人为阳性 考虑不周会给予赔偿,937,101,负面,6
超10万了，上海如何跑赢奥密克戎？,1549,99,中性,5
上海近期新增不少无症状感染者，怎样科学理解这方面的数字,1308,91,中性,6
居家期间的“社区团购”，警惕其中的诈骗陷阱️,2239,82,负面,1
上海一女子拒不配合核酸检测被处罚,1330,79,负面,7
老兵哭着说：为了上前线，你就去！,2118,77,正面,5
网传“上海人偷渡至海门”，假！,1938,77,负面,7
上海送菜人问听过儿歌孤勇者吗,936,75,正面,7
上海制定捐赠物资管理规范，专班专人做好接收、管理、分配和派送,1128,73,中性,11
应对疫情的心理疏导短片,1559,71,中性,6
急群众所急 真情暖民心,1303,71,正面,8
上海：集采集配化解物资运送“最后100米”难题,1049,71,中性,12
上海：团购菜来了，取菜时有哪些消毒注意事项,1445,70,中性,7
上海市副市长陈通：目前米面粮油肉储存储备比较充足,1016,70,中性,13
上海“大白”持枪上岗,2228,69,负面,2
她们负责11个小区的菜篮子每天买买买，自嘲“入个大坑”,1334,65,正面,9
这段上海返岗护士和社区的电话录音听哭了,1135,65,正面,14
越是艰难越向前！长四丙发射圆满成功！,917,64,正面,8
上海阿姨遇外国人出门遛狗硬核劝说：你们没有特权,1407,61,负面,8
上海至南宁T81次列车乘客需报备,1339,61,中性,10
小猫疑因疾病被隔离治疗居委会要求消杀,52,61,中性,1
各地援沪医疗队陆续入驻方舱医院，总台记者探访,954,57,正面,9
上海阿姨拎两大包食物送给外地租户 当事人：在团菜群里说饿瘦了，一会儿阿姨就送来了,918,57,正面,10
“允许符合条件家长陪护感染患儿”是人性化措施,723,57,中性,2
随申办“核酸码”功能上线，明日起在浦东新区试用,2304,55,中性,3
上海已有600余名民警24小时驻守方舱医院，解决好患者每件急难小事,1810,52,正面,8
帮人出气，结果反而把自己搭进去,1644,52,负面,5
人民网评宠物隔离：宠物不该沦为疫情的牺牲品,1720,51,负面,6
上海临港气膜实验室建成可实现每日超100万人份核酸检测,1803,49,中性,9
上海“精卫-公安”跨部门协同，不让严重精神障碍患者断药,1336,49,正面,11
上海两名工人被封控在社区，5天获赠超百份食物,1636,48,正面,7
上海长兴岛方舱医院首批116名患者治愈出院,1735,47,正面,8
实控人及两任董秘涉嫌内幕交易被立案调查新莱应材股价闪崩,955,47,负面,11
婴儿奶粉、蔬菜水果、肉蛋奶居家抗疫团购汇总来了,2107,46,中性,6
卖物资、停快递、小区解封,1744,46,负面,9
迎难而上“长四丙”火箭团队展开“接力赛”,1548,46,中性,9
