setx,sety,topic,title
8.951211,0.81291974,5,加强民航安全隐患排查
-5.485626,-1.1078818,18,mu5735
-1.280567,-1.9975802,0,28万韩国人请愿阻止总统府迁出青瓦台
1.7417911,14.945386,2,国家卫健委专家对疫情最新解读
-14.821574,11.143621,19,东航称飞机失事原因还在调查中
3.4058242,-0.6816409,15,俄罗斯拟退出世贸组织
6.565824,-13.7599,9,小孩被拐找到时头发被剪衣服被换
-8.958294,-12.188693,7,广州白云机场设立家属临时接待区
6.476434,-13.418427,9,你为什么睡不好
-15.466337,11.427483,19,重庆警方回应小孩被人贩子拐跑
1.7418429,14.945379,2,6旬奶奶抱不动2孙女用箩筐挑做核酸
-15.410221,10.50194,19,广西藤县客机事故最新进展
2.9499881,-0.63500375,15,知网崩了
10.137544,9.210026,12,北京一小区内女童被卷车底不幸身亡
-1.9894565,-16.68903,16,南部战区兵力赶赴坠机现场救援
6.7834,-13.593743,9,分享欲才是平凡生活里的浪漫
16.053766,-4.1912084,8,长春两名基层党员干部在疫情一线因公殉职
-5.570376,-1.093933,18,mu5735夜间救援视频
9.749977,9.266217,12,邯郸车祸犯罪嫌疑人被刑事拘留
9.460144,8.892798,12,头前伸健康警告
6.7690706,-13.808218,9,巩汉林呼吁在足球界开展清朗行动
15.82892,-4.36739,8,坠机救援现场无人机航拍搜救
-1.0926299,-10.173521,3,李佳琦直播
-2.0377316,-16.601858,16,冯绍峰心居删童瑶联系方式好心碎
-15.693004,10.720451,19,东航坠机事件不是营销工具
-9.684359,-4.544212,11,社内相亲
8.951148,0.8129039,5,民航局应急机制启动
-2.2766027,3.1650038,1,已发现失事飞机残骸碎片
-10.069207,-5.2615066,11,山东滨州4地升为高风险
-4.7963758,9.017048,10,95后的赚钱思路有多广
-2.0754564,-16.432892,16,这word版本有点低
16.05733,-4.1971483,8,MU5735在14时19分突然下降高度
-9.404232,2.7677662,4,螺霸王否认使用脚踩酸豆角
-9.388295,2.7610304,4,余生请多指教预告
-15.146748,11.444726,19,东航坠毁飞机机上人员共132人
-4.7978663,9.015405,10,被父母宠爱着是什么感觉
3.0661774,6.1092477,13,新冠病毒抗原检测试剂临时性纳入基本医保
-8.9868,-12.20068,7,广西藤县预计今晚降温降雨
15.058473,-3.6353724,8,浦东疫情
6.528682,-13.681367,9,最好吃的饭是自己的婚宴
16.056782,-4.1878495,8,微博处置25个调侃坠机灾难账号
8.962936,0.8161555,5,杭州一网约车飞速行驶撞多辆车
-10.448018,-4.9440455,11,过去十年中国人睡眠时长减少约1.5小时
-14.827506,11.160387,19,波音回应东航客机坠毁
-1.2782989,-2.0093062,0,三伏
1.0719562,-5.88831,17,居家办公影响最大的因素
6.485072,-6.4007425,14,新闻联播
3.5867362,-0.3344465,15,苹果回应iOS15.4正式版续航翻车
1.7420285,14.9453335,2,被糖醋荷包蛋拿捏了
-15.684455,10.707462,19,借东航坠机搞灾难营销必遭唾弃
-8.793,-12.226667,7,千万别用苹果炖鸡腿
2.9499884,-0.63500404,15,知网崩了
-15.405512,10.501397,19,东航MU5735坠毁最新消息
14.955815,-4.02845,8,浦东疫情
-1.096702,-10.267312,3,深圳大学暂停胡明伟研究生导师工作
-15.403751,10.501879,19,东航客机坠毁事故最新消息
-4.678102,9.045733,10,结婚登记数为何创36年新低
-15.138537,11.442753,19,东航停飞全部737-800客机
-2.0766053,-16.509216,16,这大风吹多少有点烤全羊味
-14.821434,11.142801,19,东航开通应急援助电话
-1.0945474,-10.173574,3,win直播
-15.09323,10.645188,19,东航客机事故现场视频
-9.220465,2.684754,4,吃不胖的皖鱼火锅
1.0648865,-5.879502,17,这就是狮子座的恋爱观吧
-1.7356906,-16.35968,16,顾魏到了30岁才有的叛逆期
-14.500559,10.220022,19,懒羊羊杀疯了
3.0911376,-0.5939283,15,猎罪图鉴
-5.566808,-1.0944153,18,小时候有秘密基地的快乐
-1.2803632,-1.9987595,0,小朋友的友谊可以有多美好
