address,Shanghai,PudongNew,Huangpu,Jingan,Xuhui,Changning,Putuo,Hongkou,Yangpu,Baoshan,Minhang,Jiading,Jinshan,Songjiang,Qingpu,Fengxian,Chongming
2022-3-1_quezhen,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-3-1_wuzhengzhuang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-3-2_quezhen,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2022-3-2_wuzhengzhuang,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-3-3_quezhen,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2022-3-3_wuzhengzhuang,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-3-4_quezhen,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
2022-3-4_wuzhengzhuang,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-3-5_quezhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-3-5_wuzhengzhuang,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-3-6_quezhen,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-3-6_wuzhengzhuang,45,2,1,1,2,0,5,0,0,6,7,13,0,6,0,2,0
2022-3-7_quezhen,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
2022-3-7_wuzhengzhuang,51,4,0,0,10,0,0,1,0,6,13,12,1,4,0,0,0
2022-3-8_quezhen,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2022-3-8_wuzhengzhuang,62,3,0,1,9,1,2,0,0,11,11,7,0,14,3,0,0
2022-3-9_quezhen,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2022-3-9_wuzhengzhuang,76,8,1,3,6,1,1,3,1,2,24,16,0,9,0,1,0
2022-3-10_quezhen,11,4,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0
2022-3-10_wuzhengzhuang,64,6,1,2,7,1,4,4,0,10,12,5,0,8,4,0,0
2022-3-11_quezhen,5,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0
2022-3-11_wuzhengzhuang,78,9,5,3,10,1,1,2,0,7,17,11,4,5,1,1,0
2022-3-12_quezhen,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-3-12_wuzhengzhuang,64,34,3,2,1,2,0,0,0,3,10,3,4,1,0,0,0
2022-3-13_quezhen,41,5,3,6,4,2,1,1,0,0,9,5,1,1,2,1,0
2022-3-13_wuzhengzhuang,128,34,9,4,14,2,5,4,3,3,20,14,6,7,2,1,0
2022-3-14_quezhen,9,1,2,0,2,0,0,1,0,0,2,0,0,1,0,0,0
2022-3-14_wuzhengzhuang,130,22,21,6,10,1,0,3,1,2,24,23,4,9,0,3,0
2022-3-15_quezhen,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2022-3-15_wuzhengzhuang,197,40,12,10,23,4,9,6,2,11,26,21,8,11,6,4,0
2022-3-16_quezhen,8,0,1,0,2,0,0,0,0,0,1,4,0,0,0,0,0
2022-3-16_wuzhengzhuang,150,44,8,3,5,4,3,10,2,10,17,37,0,4,1,2,0
2022-3-17_quezhen,57,24,8,1,8,0,1,1,0,5,4,5,0,0,0,0,0
2022-3-17_wuzhengzhuang,203,11,12,3,28,1,6,6,2,9,78,30,1,10,1,2,3
2022-3-18_quezhen,8,2,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0
2022-3-18_wuzhengzhuang,366,65,15,12,39,7,23,19,8,26,58,44,15,12,16,7,0
2022-3-19_quezhen,17,8,0,0,0,0,0,1,0,1,4,2,0,0,0,0,1
2022-3-19_wuzhengzhuang,492,127,36,15,61,12,25,6,14,16,49,79,3,16,5,6,22
2022-3-20_quezhen,24,1,2,0,1,1,0,0,0,0,18,1,0,0,0,0,0
2022-3-20_wuzhengzhuang,734,219,40,32,45,12,18,12,8,13,247,39,11,9,4,13,12
2022-3-21_quezhen,31,6,0,0,4,0,1,0,0,0,10,5,1,1,0,1,2
2022-3-21_wuzhengzhuang,865,163,49,44,126,26,30,23,10,67,112,98,15,38,5,21,38
2022-3-22_quezhen,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
2022-3-22_wuzhengzhuang,977,237,59,28,85,19,21,13,3,16,305,109,4,31,20,8,19
2022-3-23_quezhen,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0
2022-3-23_wuzhengzhuang,979,218,20,48,106,11,34,26,11,69,254,68,5,34,10,11,54
2022-3-24_quezhen,29,12,0,8,2,0,2,0,1,3,0,1,0,0,0,0,0
2022-3-24_wuzhengzhuang,1580,181,102,62,165,59,36,29,20,84,490,129,12,92,13,24,82
2022-3-25_quezhen,38,31,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0
2022-3-25_wuzhengzhuang,2231,1883,23,2,2,4,8,4,11,4,202,19,1,14,13,0,41
2022-3-26_quezhen,45,1,0,3,5,2,1,1,2,6,15,9,0,0,0,0,0
2022-3-26_wuzhengzhuang,2631,322,160,105,326,27,68,49,21,147,957,233,4,79,22,84,27
2022-3-27_quezhen,50,4,1,5,6,0,4,1,0,5,20,3,0,1,0,0,0
2022-3-27_wuzhengzhuang,3450,1425,55,65,271,45,66,26,35,89,599,248,13,189,43,45,236
2022-3-28_quezhen,96,39,1,10,6,7,3,4,0,8,9,2,1,4,2,0,0
2022-3-28_wuzhengzhuang,4381,2467,282,94,85,108,78,4,47,303,361,207,18,90,55,115,67
2022-3-29_quezhen,326,169,6,8,34,3,6,7,3,33,29,9,2,15,0,1,1
2022-3-29_wuzhengzhuang,5656,2014,104,167,1066,27,107,66,96,330,959,246,24,214,87,95,54
2022-3-30_quezhen,355,249,16,8,15,8,6,1,3,1,19,9,0,8,5,7,0
2022-3-30_wuzhengzhuang,5298,1958,345,94,389,120,140,83,97,503,761,149,33,238,72,123,193
2022-3-31_quezhen,358,180,7,4,20,43,6,8,5,4,59,7,3,5,1,5,1
2022-3-31_wuzhengzhuang,4144,2227,114,160,206,213,9,120,169,13,333,47,39,179,94,178,43
2022-4-1_quezhen,260,79,5,11,37,0,13,3,11,10,57,9,3,19,0,2,1
2022-4-1_wuzhengzhuang,6051,2505,255,178,602,37,232,58,123,35,986,191,46,474,87,159,83
2022-4-2_quezhen,438,108,27,26,44,7,39,30,19,35,55,26,0,8,3,8,3
2022-4-2_wuzhengzhuang,7788,1930,632,298,998,93,349,312,255,450,774,591,60,559,228,149,110
2022-4-3_quezhen,425,140,14,29,34,14,21,11,30,32,68,14,4,6,3,4,1
2022-4-3_wuzhengzhuang,8581,3514,810,309,465,90,300,177,344,435,872,401,99,257,229,115,164
2022-4-4_quezhen,268,205,8,1,8,1,4,5,10,1,11,4,1,6,1,2,0
2022-4-4_wuzhengzhuang,13086,6866,962,49,1221,32,250,603,210,264,1370,233,51,553,313,62,47
2022-4-5_quezhen,311,162,16,12,23,6,7,8,11,7,23,11,1,14,6,2,2
2022-4-5_wuzhengzhuang,16766,7983,642,290,897,78,476,402,612,547,2914,470,76,782,378,142,77
2022-4-6_quezhen,322,151,9,27,19,31,27,1,12,9,21,6,3,2,4,0,0
2022-4-6_wuzhengzhuang,19660,8306,1035,518,1088,319,1006,667,618,651,2388,1402,76,779,466,278,63
2022-4-7_quezhen,824,307,14,22,43,29,11,26,29,9,95,23,72,107,4,31,2
2022-4-7_wuzhengzhuang,20398,8743,1366,359,2033,823,946,568,572,405,2162,910,57,644,489,61,260
2022-4-8_quezhen,1015,348,41,42,114,20,21,18,12,29,62,116,45,108,24,12,3
2022-4-8_wuzhengzhuang,22609,6938,2566,623,1515,594,1073,360,689,2792,2792,1389,45,663,318,85,167
2022-4-9_quezhen,1006,517,101,25,44,26,24,12,32,36,88,21,44,10,9,13,4
2022-4-9_wuzhengzhuang,23937,10613,447,577,1106,731,629,337,1048,2225,4536,348,24,490,548,111,167
2022-4-10_quezhen,914,212,36,29,46,5,7,6,61,21,102,71,15,291,1,11,0
2022-4-10_wuzhengzhuang,25173,6520,1725,574,3157,382,994,1232,1816,1818,3087,1334,42,1534,876,27,55
2022-4-11_quezhen,994,493,117,20,48,25,37,25,30,47,68,43,3,21,7,4,6
2022-4-11_wuzhengzhuang,22348,7813,2106,532,1723,368,1841,1350,1390,977,2939,165,35,670,324,64,51
2022-4-12_quezhen,1189,192,74,75,56,90,50,83,60,16,280,42,3,77,61,1,29
2022-4-12_wuzhengzhuang,25141,10857,1730,981,1052,1043,1120,848,1099,279,3965,944,36,635,463,32,57
2022-4-13_quezhen,2573,1139,227,49,143,105,45,121,54,13,372,54,12,131,99,2,7
2022-4-13_wuzhengzhuang,25146,13888,1181,171,1349,852,430,1367,1131,638,2567,667,22,526,220,81,56
2022-4-14_quezhen,3200,1252,268,70,293,148,45,174,48,50,274,200,23,178,128,20,29
2022-4-14_wuzhengzhuang,19872,10404,1745,196,1049,850,219,756,769,367,2104,603,5,583,176,15,31
2022-4-15_quezhen,3590,1142,246,92,277,233,66,287,275,74,301,173,21,198,131,23,51
2022-4-15_wuzhengzhuang,19923,9140,1138,341,1412,519,360,1210,1136,1249,1736,568,10,575,405,83,41
2022-4-16_quezhen,3238,1002,188,143,170,127,145,157,84,51,890,103,9,87,46,23,13
2022-4-16_wuzhengzhuang,21582,9789,1377,991,1362,579,1186,870,776,1242,2170,582,12,323,259,28,36
2022-4-17_quezhen,2417,521,186,127,167,62,330,266,26,85,106,356,5,153,17,1,9
2022-4-17_wuzhengzhuang,19831,7219,1710,715,1386,677,895,900,861,1365,2296,622,19,752,352,19,43
2022-4-18_quezhen,3084,1075,362,203,68,193,21,233,64,203,312,72,3,191,77,2,5
2022-4-18_wuzhengzhuang,17332,7756,2961,807,504,487,350,859,417,827,1060,516,4,571,180,12,21
2022-4-19_quezhen,2494,720,368,205,144,53,100,148,64,41,389,104,1,58,72,2,25
2022-4-19_wuzhengzhuang,16407,4926,2716,1528,1464,565,428,605,702,916,1213,639,8,267,317,58,55
2022-4-20_quezhen,2634,756,252,164,191,123,49,102,202,107,291,82,16,165,120,6,8
2022-4-20_wuzhengzhuang,15861,3709,2845,966,1256,603,506,730,1803,726,1395,567,1,511,160,26,57
2022-4-21_quezhen,1931,409,192,150,347,85,94,103,54,136,153,80,8,22,60,14,24
2022-4-21_wuzhengzhuang,15698,4246,1560,1914,1019,411,395,782,489,842,2410,696,22,471,325,20,96
2022-4-22_quezhen,2736,704,435,76,123,164,71,428,88,179,208,76,0,120,44,6,14
2022-4-22_wuzhengzhuang,20634,7257,2408,710,1152,549,452,569,1268,1854,1097,424,26,2448,315,2,103
2022-4-23_quezhen,1401,541,96,40,91,69,39,82,42,135,108,73,0,32,26,1,26
2022-4-23_wuzhengzhuang,19657,7085,1863,431,1631,658,439,737,1235,2751,769,678,44,741,398,15,182
2022-4-24_quezhen,2472,874,317,142,228,76,43,106,75,135,143,132,0,166,8,0,27
2022-4-24_wuzhengzhuang,16983,5307,1438,1560,1168,673,434,549,1160,2371,1086,469,68,382,243,7,68
2022-4-25_quezhen,1661,292,156,131,209,97,47,138,65,216,61,58,0,108,44,3,36
2022-4-25_wuzhengzhuang,15319,3620,2515,885,1132,437,371,1132,1179,1570,656,485,22,533,335,9,438
2022-4-26_quezhen,1606,206,301,145,173,64,104,37,47,295,71,89,2,29,27,2,14
2022-4-26_wuzhengzhuang,11956,2539,927,1249,731,355,261,1099,1059,1681,678,345,26,258,284,11,453
2022-4-27_quezhen,1292,534,135,32,212,19,24,68,60,52,51,13,10,52,4,0,26
2022-4-27_wuzhengzhuang,9330,2459,1317,1057,340,189,277,1023,466,1063,270,279,31,179,204,3,173
2022-4-28_quezhen,5487,1456,1370,349,527,263,96,469,75,277,70,132,8,252,137,3,3
2022-4-28_wuzhengzhuang,9545,2016,1286,1015,1053,384,139,905,733,966,352,356,20,150,132,3,35
2022-4-29_quezhen,1249,131,250,124,214,58,55,22,27,130,144,22,1,24,46,1,0
2022-4-29_wuzhengzhuang,8932,1897,1149,1143,388,319,86,993,740,1067,372,246,18,110,110,25,269
2022-4-30_quezhen,788,37,110,110,136,40,27,47,22,112,53,41,0,29,21,2,1
2022-4-30_wuzhengzhuang,7084,1588,1046,886,352,141,87,544,320,1021,378,218,11,76,107,2,307
2022-5-1_quezhen,727,132,128,70,71,33,12,69,35,94,29,14,2,12,24,1,1
2022-5-1_wuzhengzhuang,6606,1520,984,632,371,210,83,600,432,889,357,254,12,84,91,12,75
2022-5-2_quezhen,274,38,17,20,38,4,1,18,34,33,28,4,0,29,10,0,0
2022-5-2_wuzhengzhuang,5395,1124,957,596,379,147,78,348,354,603,259,275,7,39,84,10,135
2022-5-3_quezhen,260,49,27,17,26,6,8,11,27,34,15,4,0,34,2,0,0
