address,Shanghai,PudongNew,Huangpu,Jingan,Xuhui,Changning,Putuo,Hongkou,Yangpu,Baoshan,Minhang,Jiading,Jinshan,Songjiang,Qingpu,Fengxian,Chongming
2022-4-1,6311,2584,260,189,639,37,245,61,134,45,1043,200,49,493,87,161,84
2022-4-2,8226,2038,659,324,1042,100,388,342,274,485,829,617,60,567,231,157,113
2022-4-3,9006,3654,824,338,499,104,321,188,374,467,940,415,103,263,232,119,165
2022-4-4,13354,7071,970,50,1229,33,254,608,220,265,1381,237,52,559,314,64,47
2022-4-5,17077,8145,658,302,920,84,483,410,623,554,2937,481,77,796,384,144,79
2022-4-6,19982,8457,1044,545,1107,350,1033,668,630,660,2409,1408,79,781,470,278,63
2022-4-7,21222,9050,1380,381,2076,852,957,594,601,414,2257,933,129,751,493,92,262
2022-4-8,23624,7286,2607,665,1629,614,1094,378,701,2821,2854,1505,90,771,342,97,170
2022-4-9,24943,11130,548,602,1150,757,653,349,1080,2261,4624,369,68,500,557,124,171
2022-4-10,26087,6732,1761,603,3203,387,1001,1238,1877,1839,3189,1405,57,1825,877,38,55
2022-4-11,23342,8306,2223,552,1771,393,1878,1375,1420,1024,3007,208,38,691,331,68,57
2022-4-12,26330,11049,1804,1056,1108,1133,1170,931,1159,295,4245,986,39,712,524,33,86
2022-4-13,27719,15027,1408,220,1492,957,475,1488,1185,651,2939,721,34,657,319,83,63
2022-4-14,23072,11656,2013,266,1342,998,264,930,817,417,2378,803,28,761,304,35,60
2022-4-15,23513,10282,1384,433,1689,752,426,1497,1411,1323,2037,741,31,773,536,106,92
2022-4-16,24820,10791,1565,1134,1532,706,1331,1027,860,1293,3060,685,21,410,305,51,49
2022-4-17,22248,7740,1896,842,1553,739,1225,1166,887,1450,2402,978,24,905,369,20,52
2022-4-18,20416,8831,3323,1010,572,680,371,1092,481,1030,1372,588,7,762,257,14,26
2022-4-19,18901,5646,3084,1733,1608,618,528,753,766,957,1602,743,9,325,389,60,80
2022-4-20,18495,4465,3097,1130,1447,726,555,832,2005,833,1686,649,17,676,280,32,65
2022-4-21,17629,4655,1752,2064,1366,496,489,885,543,978,2563,776,30,493,385,34,120
2022-4-22,23370,7961,2843,786,1275,713,523,997,1356,2033,1305,500,26,2568,359,8,117
2022-4-23,21058,7626,1959,471,1722,727,478,819,1277,2886,877,751,44,773,424,16,208
2022-4-24,19455,6181,1755,1702,1396,749,477,655,1235,2506,1229,601,68,548,251,7,95
2022-4-25,16980,3912,2671,1016,1341,534,418,1270,1244,1786,717,543,22,641,379,12,474
2022-4-26,13562,2745,1228,1394,904,419,365,1136,1106,1976,749,434,28,287,311,13,467
2022-4-27,10622,2993,1452,1089,552,208,301,1091,526,1115,321,292,41,231,208,3,199
2022-4-28,15032,3472,2656,1364,1580,647,235,1374,808,1243,422,488,28,402,269,6,38
2022-4-29,10181,2028,1399,1267,602,377,141,1015,767,1197,516,268,19,134,156,26,269
2022-4-30,7872,1625,1156,996,488,181,114,591,342,1133,431,259,11,105,128,4,308
2022-5-1,7333,1652,1112,702,442,243,95,669,467,983,386,268,14,96,115,13,76
2022-5-2,5669,1162,974,616,417,151,79,366,388,636,287,279,7,68,94,10,135
2022-5-3,4982,883,939,565,363,102,62,358,421,620,252,175,4,90,43,6,99
2022-5-4,4651,889,775,545,330,121,91,326,393,459,285,215,3,92,70,1,56
2022-5-5,4269,677,772,515,323,87,79,267,411,500,235,201,2,83,56,11,50
