position,lng,lat
静安区平型关路300弄,0,0
嘉定区宝乐路58弄,0,0
闵行区龙吴路4221号,0,0
闵行区龙吴路4221号,0,0
闵行区龙吴路4221号,0,0
闵行区龙吴路4221号,0,0
闵行区龙吴路4221号,0,0
徐汇区漕溪北路1200号,0,0
徐汇区梅陇三村,0,0
徐汇区漕溪北路1200号,0,0
徐汇区漕溪北路1200号,0,0
长宁区延安西路649弄,0,0
普陀区真南路1051弄,0,0
徐汇区漕溪北路1200号,0,0
闵行区龙吴路4221号,0,0
嘉定区宝乐路58弄,0,0
静安区沪太路1329弄,0,0
青浦区徐泾镇杨巷西区,0,0
嘉定区徐行和桥村,0,0
宝山区菊太路1399弄,0,0
嘉定区宝安公路3705弄,0,0
嘉定区宝安公路3705弄,0,0
松江区陆家圈路63弄,0,0
闵行区虹梅南路1578号,0,0
闵行区虹梅南路1578号,0,0
闵行区虹梅南路1578号,0,0
徐汇区华泾路880弄,0,0
松江区沪亭北路618弄,0,0
闵行区华茂路1036号,0,0
松江区洞宁路655弄,0,0
松江区淀浦河路399弄,0,0
松江区南期昌路458弄,0,0
松江区方塔北路618号,0,0
松江区沪亭北路618弄,0,0
松江区博安路32弄,0,0
松江区九亭镇庄家村,0,0
松江区沪亭北路338弄,0,0
松江区博安路32弄,0,0
宝山区泗塘一村,0,0
宝山区泗塘一村,0,0
宝山区友谊路1869弄,0,0
松江区涞坊路333弄,0,0
青浦区徐泾前明村,0,0
嘉定区康年路208弄,0,0
嘉定区城中路20号,0,0
青浦区赵巷和睦村,0,0
闵行区普乐路333弄,0,0
普陀区石泉东路168弄,0,0
宝山区月浦六村,0,0
宝山区真华路999弄,0,0
宝山区鹤林路58弄,0,0
宝山区罗东路50弄,0,0
嘉定区沪宜公路3066弄,0,0
宝山区德都路399弄,0,0
宝山区月浦六村,0,0
宝山区美丹路1033弄,0,0
徐汇区漕溪北路1200号,0,0
徐汇区漕溪北路1200号,0,0
徐汇区宜山路250弄,0,0
浦东新区长岛路85弄,0,0
浦东新区台儿庄路579弄,0,0
浦东新区台儿庄路579弄,0,0
松江区洞坤路168弄,0,0
松江区洞坤路168弄,0,0
闵行区罗秀路1377号,0,0
