place,diagnose,population_density,immigrant_rate,kids_rate,big_kids_rate,middle_age_rate,old_age_rate,living_house_rate,not_living_haose_rate,school_rate,hospital,hosipital_rate,green_land_area_rate,park_green_land_rate,parks,park_per_population,number_people_park,medical_organization,medical_organization_per_population,medical_organization_per_area,medical_population,medical_population_per_area,medical_population_per_population
Pudong,16956,4698,0.43,0.14,0.16,0.37,0.33,0.5,0.5,0.02697,153,0.00453,27.25,6.2,54,0.095,1126.82,1174,2.065,0.97,31620,26.123,55.61
Huangpu,6458,32185,0.43,0.1,0.15,0.33,0.42,0.43,0.57,0.02812,68,0.01754,14.21,8.82,18,0.2733,1245.43,314,4.768,15.347,25234,1233.333,383.204
Xuhui,4627,20356,0.31,0.14,0.17,0.33,0.36,0.55,0.45,0.0531,119,0.01832,25.91,10.89,17,0.1525,1214.73,373,3.346,6.812,26920,491.6,241.5
Changning,2386,18115,0.32,0.11,0.16,0.34,0.39,0.56,0.44,0.03078,38,0.00879,29.38,13.47,19,0.2739,1462.25,275,3.964,7.18,11834,308.982,170.568
Jingan,3039,26516,0.26,0.12,0.15,0.33,0.4,0.51,0.49,0.02586,68,0.01113,22.05,8.64,20,0.2045,2200.58,361,3.692,9.789,21632,586.551,221.209
Putuo,1770,22670,0.3,0.12,0.14,0.33,0.41,0.6,0.4,0.03467,37,0.00589,26.49,12.76,28,0.2253,1526.45,218,1.754,3.976,10952,199.745,88.109
Hongkou,3570,32317,0.27,0.1,0.15,0.33,0.42,0.57,0.43,0.03184,43,0.01113,18.57,6.76,15,0.1977,1072.96,154,2.03,6.559,11386,484.923,150.053
Yangpu,2029,20501,0.25,0.11,0.18,0.32,0.39,0.55,0.45,0.06536,49,0.00783,24.25,8.19,22,0.1767,1251.01,238,1.912,3.919,17064,280.981,137.06
Minhang,5332,7167,0.47,0.16,0.16,0.37,0.32,0.51,0.49,0.03386,90,0.00549,26.93,7.26,56,0.2108,1113.58,511,1.923,1.378,16161,43.59,60.822
Baoshan,2958,8249,0.41,0.12,0.15,0.36,0.37,0.57,0.43,0.02227,31,0.00276,29.66,9.33,34,0.1521,1197.7,307,1.373,1.133,10575,39.024,47.309
Jiading,2457,3944,0.57,0.13,0.15,0.37,0.35,0.44,0.56,0.02218,55,0.00524,24.52,3.27,31,0.1693,406.59,384,2.097,0.827,10980,23.654,59.967
Jinshan,337,1400,0.37,0.1,0.15,0.41,0.34,0.36,0.64,0.02367,33,0.00583,20.24,1.26,14,0.1706,117.96,300,3.656,0.512,6869,11.721,83.707
Songjiang,2944,3051,0.58,0.14,0.17,0.39,0.3,0.44,0.56,0.01954,27,0.00221,25.11,2.15,29,0.152,349.27,260,1.363,0.429,7856,12.971,41.17
Qinpu,1310,1897,0.57,0.12,0.16,0.4,0.33,0.38,0.62,0.01603,21,0.00267,21.87,1.81,20,0.1573,113.84,363,2.855,0.542,6143,9.167,48.321
Fengxian,237,1663,0.52,0.11,0.15,0.4,0.34,0.39,0.61,0.0253,20,0.00257,22.26,1.39,23,0.2012,181.61,315,2.756,0.458,6304,9.171,55.153
Chongming,390,539,0.23,0.07,0.14,0.4,0.39,0.51,0.49,0.03485,21,0.00747,32.22,0.48,6,0.0938,71.03,358,5.599,0.302,4868,4.106,76.134
