"","x"
"1",3.8454476897931
"2",3.65107573463891
"3",2.91008672912025
"4",2.19913359297046
"5",1.61350319990159
"6",1.32189895768886
"7",1.17125368560904
"8",0.91641980640156
"9",0.77733287146648
"10",0.745307601951041
"11",0.787609535440251
"12",0.928919767701208
"13",1.0068241688687
"14",1.10950872321195
"15",1.20551025047555
"16",1.3909597121634
"17",1.45585434151838
"18",1.42748444448285
"19",1.40471490585618
"20",1.30680811994351
"21",1.22394725287505
"22",1.07254951758621
"23",0.881707710503971
"24",0.747996593187907
"25",0.675165476941104
"26",0.602377340348771
"27",0.597418827354119
"28",0.589030285387775
