"","x"
"1",2.43725783211012
"2",1.78221395890006
"3",1.88625048721474
"4",1.89170501972027
"5",1.76648950094369
"6",1.71297199185857
"7",1.54773500548909
"8",1.57387804270982
"9",1.51856818853333
"10",1.34020944790513
"11",1.16671169565429
"12",1.06051044811761
"13",0.93540824617207
"14",0.918234492535086
"15",0.865311761710142
"16",0.858562142566095
"17",0.81826996914713
"18",0.87600580615915
"19",0.971728160444904
"20",1.04279262316733
"21",1.12723419602631
"22",1.11678937609969
"23",1.05282143997356
"24",1.02721894513639
"25",0.884174987108349
"26",0.772998675667479
"27",0.683468723788489
"28",0.554373290567762
