"","x"
"1",3.03404719613781
"2",2.04319114360269
"3",1.81866699327152
"4",1.49224923633745
"5",1.39117922500104
"6",1.12529483512218
"7",1.02100084075764
"8",0.861407844692223
"9",0.912318648505414
"10",0.864767141997569
"11",0.95601967036054
"12",0.940870613836725
"13",0.943785130622003
"14",0.951958834992729
"15",0.920234277805375
"16",0.945809152842026
"17",0.889920031271409
"18",0.89706770479347
"19",0.857724718825453
"20",0.808995556769878
"21",0.777944775745534
"22",0.765189446438534
"23",0.693779182356946
"24",0.656455008005587
"25",0.639637708667336
"26",0.625028070932931
"27",0.667711855487583
"28",0.634075936170246
