"","x"
"1",2.1155254680166
"2",1.66250250846203
"3",1.26609920854444
"4",1.08998290515688
"5",0.953279719273609
"6",0.850932222439778
"7",0.670372748088307
"8",0.583540739851143
"9",0.534615870253737
"10",0.522411785186498
"11",0.514453875833754
"12",0.500113758948524
"13",0.518904110701732
"14",0.615506170794963
"15",0.68900230356477
"16",0.911587306370783
"17",1.27093047315079
"18",1.3949604466737
"19",1.43449963843
"20",1.44637942151553
"21",1.30530088391262
"22",1.16002878084247
"23",0.942968799791395
"24",0.687015968840008
"25",0.635083525169755
"26",0.573912337113254
"27",0.444210042469762
"28",0.355040449517032
