"","x"
"1",2.47290895789279
"2",2.32006208319442
"3",2.04400378432983
"4",1.77123181517298
"5",1.5583306924207
"6",1.37569120303199
"7",1.23592426854792
"8",1.10047789582367
"9",0.972181206366456
"10",0.914464868696884
"11",0.843820747966859
"12",0.739755588000795
"13",0.710683978042695
"14",0.769243776662673
"15",0.789421360880558
"16",0.712754393976691
"17",0.683281908334479
"18",0.691797955237029
"19",0.69044720581906
"20",0.641774134812964
"21",0.508861462433557
"22",0.486539826001188
"23",0.507589178795062
"24",0.480148462574385
"25",0.494844759111691
"26",0.489310611382852
"27",0.567604509846258
"28",0.616755031150631
