"","x"
"1",2.96150684335947
"2",2.19632301823832
"3",1.88374382804221
"4",1.98267084433623
"5",1.82584780158224
"6",1.41812213509426
"7",1.10339759983789
"8",0.908288440934477
"9",0.988007608455247
"10",1.03484617477218
"11",0.809998923207279
"12",0.713608255222963
"13",0.756580848264045
"14",0.851334388901453
"15",0.928366630004506
"16",0.804372430006935
"17",0.678568632111278
"18",0.722944787095335
"19",0.745885983850891
"20",0.746472555636549
"21",0.736236455328033
"22",0.682380492347121
"23",0.624788099898373
"24",0.555796573761411
"25",0.493606668184068
"26",0.434665688940383
"27",0.403929614906366
"28",0.390715984782891
