days,Shanghai,PudongNew,Huangpu,Jingan,Xuhui,Changning,Putuo,Hongkou,Yangpu,Baoshan,Minhang,Jiading,Jinshan,Songjiang,Fengxian,Chongming,Qingpu
1,2.586310897,2.494576228,2.931453261,2.445021728,2.390047119,5.452134384,2.961506843,2.437257832,2.636836819,3.84544769,2.472908958,3.034047196,2.115525468,2.077268285,1.668278199,2.202690097,2.451398271
2,2.167090044,2.163822653,2.132607246,2.050356385,1.820772574,3.956583617,2.196323018,1.782213959,2.36258186,3.651075735,2.320062083,2.043191144,1.662502508,1.579455328,1.292783157,1.832587411,2.029353812
3,1.903938795,1.787724988,1.796774893,1.767049047,1.909043057,2.692192325,1.883743828,1.886250487,2.459044569,2.910086729,2.044003784,1.818666993,1.266099209,1.776116136,1.035939344,1.316629188,1.970183153
4,1.657983427,1.49733717,1.672945429,1.697146458,1.689617297,2.086487835,1.982670844,1.89170502,2.334778426,2.199133593,1.771231815,1.492249236,1.089982905,1.5886399,0.979106233,1.150089893,1.634784068
5,1.486931456,1.354135031,1.596039278,1.759165787,1.457759934,2.100587861,1.825847802,1.766489501,1.965283091,1.6135032,1.558330692,1.391179225,0.953279719,1.359932282,0.83860182,1.076465945,1.433600104
6,1.365964073,1.349596198,1.44053971,1.412351857,1.31418471,1.948237635,1.418122135,1.712971992,1.686146111,1.321898958,1.375691203,1.125294835,0.850932222,1.18321251,0.621679979,1.039806581,1.208349255
7,1.247386771,1.293153452,1.34842022,1.196236198,1.122358034,1.648029893,1.1033976,1.547735005,1.450862505,1.171253686,1.235924269,1.021000841,0.670372748,1.096746923,0.581497389,0.782930789,1.046130424
8,1.152990941,1.250911047,1.105077458,1.029607424,1.05708784,1.423532953,0.908288441,1.573878043,1.380178103,0.916419806,1.100477896,0.861407845,0.58354074,1.050593358,0.651453722,0.691301316,1.057628712
9,1.089950825,1.165510108,1.125377443,1.126071051,1.056965843,1.240057107,0.988007608,1.518568189,1.220898523,0.777332871,0.972181206,0.912318649,0.53461587,1.010943557,0.62347678,0.573915043,0.964106307
10,1.028375746,1.118128697,1.099771754,1.169840729,0.899482486,1.21061188,1.034846175,1.340209448,1.001680405,0.745307602,0.914464869,0.864767142,0.522411785,0.841516419,0.666305236,0.621683834,0.804389877
