date,district,rt
1,Shanghai,2.586310897
1,PudongNew,2.494576228
1,Huangpu,2.931453261
1,Jingan,2.445021728
1,Xuhui,2.390047119
1,Changning,5.452134384
1,Putuo,2.961506843
1,Hongkou,2.437257832
1,Yangpu,2.636836819
1,Baoshan,3.84544769
1,Minhang,2.472908958
1,Jiading,3.034047196
1,Jinshan,2.115525468
1,Songjiang,2.077268285
1,Fengxian,1.668278199
1,Chongming,2.202690097
1,Qingpu,2.451398271
2,Shanghai,2.167090044
2,PudongNew,2.163822653
2,Huangpu,2.132607246
2,Jingan,2.050356385
2,Xuhui,1.820772574
2,Changning,3.956583617
2,Putuo,2.196323018
2,Hongkou,1.782213959
2,Yangpu,2.36258186
2,Baoshan,3.651075735
2,Minhang,2.320062083
2,Jiading,2.043191144
2,Jinshan,1.662502508
2,Songjiang,1.579455328
2,Fengxian,1.292783157
2,Chongming,1.832587411
2,Qingpu,2.029353812
3,Shanghai,1.903938795
3,PudongNew,1.787724988
3,Huangpu,1.796774893
3,Jingan,1.767049047
3,Xuhui,1.909043057
3,Changning,2.692192325
3,Putuo,1.883743828
3,Hongkou,1.886250487
3,Yangpu,2.459044569
3,Baoshan,2.910086729
3,Minhang,2.044003784
3,Jiading,1.818666993
3,Jinshan,1.266099209
3,Songjiang,1.776116136
3,Fengxian,1.035939344
3,Chongming,1.316629188
3,Qingpu,1.970183153
4,Shanghai,1.657983427
4,PudongNew,1.49733717
4,Huangpu,1.672945429
4,Jingan,1.697146458
4,Xuhui,1.689617297
4,Changning,2.086487835
4,Putuo,1.982670844
4,Hongkou,1.89170502
4,Yangpu,2.334778426
4,Baoshan,2.199133593
4,Minhang,1.771231815
4,Jiading,1.492249236
4,Jinshan,1.089982905
4,Songjiang,1.5886399
4,Fengxian,0.979106233
4,Chongming,1.150089893
4,Qingpu,1.634784068
5,Shanghai,1.486931456
5,PudongNew,1.354135031
5,Huangpu,1.596039278
5,Jingan,1.759165787
5,Xuhui,1.457759934
5,Changning,2.100587861
5,Putuo,1.825847802
5,Hongkou,1.766489501
5,Yangpu,1.965283091
5,Baoshan,1.6135032
5,Minhang,1.558330692
5,Jiading,1.391179225
5,Jinshan,0.953279719
5,Songjiang,1.359932282
5,Fengxian,0.83860182
5,Chongming,1.076465945
5,Qingpu,1.433600104
6,Shanghai,1.365964073
6,PudongNew,1.349596198
6,Huangpu,1.44053971
6,Jingan,1.412351857
6,Xuhui,1.31418471
6,Changning,1.948237635
6,Putuo,1.418122135
6,Hongkou,1.712971992
6,Yangpu,1.686146111
6,Baoshan,1.321898958
6,Minhang,1.375691203
6,Jiading,1.125294835
6,Jinshan,0.850932222
6,Songjiang,1.18321251
6,Fengxian,0.621679979
6,Chongming,1.039806581
6,Qingpu,1.208349255
7,Shanghai,1.247386771
7,PudongNew,1.293153452
7,Huangpu,1.34842022
7,Jingan,1.196236198
7,Xuhui,1.122358034
7,Changning,1.648029893
7,Putuo,1.1033976
7,Hongkou,1.547735005
7,Yangpu,1.450862505
7,Baoshan,1.171253686
7,Minhang,1.235924269
7,Jiading,1.021000841
7,Jinshan,0.670372748
7,Songjiang,1.096746923
7,Fengxian,0.581497389
7,Chongming,0.782930789
7,Qingpu,1.046130424
8,Shanghai,1.152990941
8,PudongNew,1.250911047
8,Huangpu,1.105077458
8,Jingan,1.029607424
8,Xuhui,1.05708784
8,Changning,1.423532953
8,Putuo,0.908288441
8,Hongkou,1.573878043
8,Yangpu,1.380178103
8,Baoshan,0.916419806
8,Minhang,1.100477896
8,Jiading,0.861407845
8,Jinshan,0.58354074
8,Songjiang,1.050593358
8,Fengxian,0.651453722
8,Chongming,0.691301316
8,Qingpu,1.057628712
9,Shanghai,1.089950825
9,PudongNew,1.165510108
9,Huangpu,1.125377443
9,Jingan,1.126071051
9,Xuhui,1.056965843
9,Changning,1.240057107
9,Putuo,0.988007608
9,Hongkou,1.518568189
9,Yangpu,1.220898523
9,Baoshan,0.777332871
9,Minhang,0.972181206
9,Jiading,0.912318649
9,Jinshan,0.53461587
9,Songjiang,1.010943557
9,Fengxian,0.62347678
9,Chongming,0.573915043
9,Qingpu,0.964106307
10,Shanghai,1.028375746
10,PudongNew,1.118128697
10,Huangpu,1.099771754
10,Jingan,1.169840729
10,Xuhui,0.899482486
10,Changning,1.21061188
10,Putuo,1.034846175
10,Hongkou,1.340209448
10,Yangpu,1.001680405
10,Baoshan,0.745307602
10,Minhang,0.914464869
10,Jiading,0.864767142
10,Jinshan,0.522411785
10,Songjiang,0.841516419
10,Fengxian,0.666305236
10,Chongming,0.621683834
10,Qingpu,0.804389877
11,Shanghai,0.989981575
11,PudongNew,1.08221054
11,Huangpu,1.166935906
11,Jingan,1.255021585
11,Xuhui,0.791643412
11,Changning,1.200538751
11,Putuo,0.809998923
11,Hongkou,1.166711696
11,Yangpu,0.840324609
11,Baoshan,0.787609535
11,Minhang,0.843820748
11,Jiading,0.95601967
11,Jinshan,0.514453876
11,Songjiang,0.856513198
11,Fengxian,0.640957743
11,Chongming,0.650775707
11,Qingpu,0.79166429
