"","x"
"1",2.58631089731672
"2",2.16709004449275
"3",1.90393879467593
"4",1.65798342724654
"5",1.48693145612317
"6",1.36596407320065
"7",1.24738677079418
"8",1.15299094063031
"9",1.08995082457687
"10",1.02837574556064
"11",0.989981574513105
"12",0.939215731517276
"13",0.888346598165736
"14",0.869850960919669
"15",0.893189429424418
"16",0.8989034864522
"17",0.907392522373261
"18",0.908520381995088
"19",0.8942907092819
"20",0.861027184680055
"21",0.866854120161926
"22",0.798700986831743
"23",0.727772689276541
"24",0.668337432562195
"25",0.61963076355657
"26",0.596907683649535
"27",0.601132120999507
"28",0.545783705615716
