"","x"
"1",2.63683681876624
"2",2.36258185960464
"3",2.45904456899439
"4",2.33477842627808
"5",1.96528309088606
"6",1.68614611139018
"7",1.45086250483114
"8",1.38017810339733
"9",1.22089852257945
"10",1.00168040468137
"11",0.840324608889874
"12",0.790246097964331
"13",0.924609242739755
"14",0.934001926222869
"15",0.952672250917282
"16",1.02667794554579
"17",1.08545757053567
"18",1.18658034960534
"19",1.20630539673344
"20",0.961947410581234
"21",0.959509460115107
"22",0.882975757149396
"23",0.775725996460626
"24",0.698863454198437
"25",0.620052588805495
"26",0.569099256693264
"27",0.610977652721208
"28",0.614590697738704
